country,year,adj_svng_gn,country_id,domestic_credit_to_private,rule_of_law,gdp_pc,fdi_stock_tuorism,fdi_stock_manuf,adj_savings,fdi_manufacturing_gdp,fdi_tourism_gdp,trade_index,control_of_corruption,di_inward_stock_BDP
Bulgaria,2019,11.2251663895233,1,49.5388804101478,99.993673209101,8820,705.98099999999999,8947.9169999999995,11.407641582705001,14.5357423456993,1.14685439269934,124.688701193655,-0.180789098143578,74.8197954
Bulgaria,2020,8.23352812795681,1,51.7428241396429,99.9129220694304,8840,611.76599999999996,9658.1380000000008,7.6282737158077998,15.7475723860753,0.997483093360207,110.328593685454,-0.322116583585739,78.9692615
Croatia,1997,2.55495992593194,2,31.0784617685385,,4700,,,1.8299478277810199,,,74.8939322042029,,5.5267704
Croatia,1998,4.23827903102553,2,34.5170187409554,99.6428428590298,5070,,,3.5485998896934099,,,64.9968925033006,-0.586468279361725,7.2193879
Croatia,1999,1.84596059996701,2,31.4608755675376,,4920,,,1.1300078036718399,,,66.2814285423128,,11.515861
Croatia,2000,3.56274382495067,2,31.565679632486,100.030786018819,5500,192.762,1039.027,2.8165998760558799,4.39282231308107,0.814963629158948,74.6219027631486,-0.0353819169104099,12.720427
Croatia,2001,2.17617199581936,2,35.9540730444738,,6030,299.85899999999998,1334.415,1.47183671706025,5.14278143898565,1.15564445806799,79.4554753068696,,17.0474693
Croatia,2002,2.80321147862365,2,42.7023003978425,99.8542965501547,6680,433.14699999999999,1630.18,2.1586911409290499,5.67022988208718,1.50660851116835,81.1601873386788,0.225011631846428,20.1437541
Croatia,2003,3.69933079334619,2,44.6573266661812,99.9767360109836,7200,423.762,1920.8989999999999,3.02808090683624,6.19788537699796,1.36729120225863,81.4184199843892,0.258523046970367,21.9449687
Croatia,2004,5.137683062469,2,47.3784660040118,100.085002981126,7840,567.49300000000005,2842.4850000000001,4.44051193479602,8.41618115581456,1.68026353442733,81.6075389197923,0.239370077848434,26.9505681
Croatia,2005,6.81064223924029,2,51.4697549041398,100.128532662988,8540,734.77099999999996,3517.8649999999998,6.0861455529160402,9.55913286469653,1.99660123800258,81.4696023749003,0.139555230736732,33.4697582
Croatia,2006,7.78300998933285,2,58.0099827553585,100.006076630205,9400,798.63699999999994,5130.9489999999996,7.1329825602163703,12.6577261020106,1.97018687984064,83.4865928748645,0.0449901148676872,51.2131891
Croatia,2007,7.83019314081325,2,61.0410754806193,100.087641432881,10260,852.49900000000002,6523.3310000000001,7.2129436588532796,14.7377015830473,1.92599085679483,83.2208342863778,0.0590379722416401,69.0341559
Croatia,2008,7.04064399115082,2,63.6389826814551,100.08638356626,11210,668.78499999999997,5580.3230000000003,6.38708608679128,11.5454253196875,1.38368464915511,82.0211422505019,-0.050504669547081,42.5920605
Croatia,2009,4.10980558295638,2,66.2382345479702,100.162146657705,10550,694.24,5240.6220000000003,3.5943483881824401,11.5398784936872,1.52872030179956,69.9591951852925,-0.0860949829220772,51.73284
Croatia,2010,4.27117486038593,2,67.5755360206691,100.201962456107,10610,863.42399999999998,5168.3530000000001,3.6114834241136999,11.3395680587599,1.89438593137247,72.839969506957,0.0231014657765627,53.831753
Croatia,2011,3.85219126058538,2,69.2375725296121,100.217890828848,10600,749.93499999999995,6453.165,3.0108547886369599,14.2207063608281,1.65261626267229,77.9708548244331,0.0277206785976887,50.1606772
